formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6,3-7;types=1,0,0,0,0,0,0,0",tertiary_amine,8,0.005162672145703765,0.0048515981735159815,9.3815625,1,"1,1,1,1,2,2,3,3",,,3,0,2.73125,9.381562499999998,37.171390624999994,160.29816640624995,0.31530845896300674,0.0009575040404378236,0.2615586370677199,0.34553151483532063,0.13369878246624617,5.184643093876871e-05,0.11967940196355906,0.14188590190409556,-0.06214611974440401
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6,5-7;types=0,0,0,0,0,0,1,0",primary_amine,8,0.020793151221011778,0.018550228310502282,9.374687500000002,1,"1,1,1,2,2,2,2,3",,,1,2,2.73125,9.374687500000002,36.86079687500003,156.6720023437501,0.31617000277451046,0.0014897710724654594,0.2581768303863813,0.3898830587350609,0.13533628831565853,0.00033045950953216295,0.11372033220465551,0.1774177398126045,-0.11414156162957617
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6,5-7;types=0,0,0,1,0,0,0,0",secondary_amine,8,0.021520342794227827,0.019406392694063926,9.340312500000001,1,"1,1,1,2,2,2,2,3",,,2,1,2.73125,9.340312500000003,36.50923437500002,154.1829164062501,0.31535666861898454,0.0009129043518056796,0.2593786388347894,0.34703439306755063,0.13473460017671715,0.00014861956199962865,0.11635076696927416,0.15413839215458047,-0.10339612710281118
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6,6-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.010396575610505127,0.008276255707762557,9.3746875,1,"1,1,1,2,2,2,2,3",,,1,2,2.73125,9.3746875,36.86079687500001,156.67200234375002,0.3161704987758387,0.0014910765413614002,0.2581605159672883,0.38991551105461303,0.13534369553112252,0.0003362106122108226,0.11357778446209042,0.17766609671714456,-0.22808580215158766
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6,6-7;types=0,0,0,0,0,0,1,0",secondary_amine,8,0.010760171397102305,0.012842465753424657,9.340312499999996,1,"1,1,1,2,2,2,2,3",,,2,1,2.7312499999999997,9.3403125,36.50923437499999,154.25166640624994,0.3153905331467588,0.0009433131154662198,0.25817554566820367,0.3470667952222001,0.1348471266784878,0.00018007723480944584,0.11370132871507832,0.15800648847223106,0.17690581792202126
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6,6-7;types=0,0,0,1,0,0,0,0",secondary_amine,8,0.010760171397102303,0.010844748858447488,9.340312500000005,1,"1,1,1,2,2,2,2,3",,,2,1,2.73125,9.340312500000003,36.50923437500002,154.1141664062501,0.31531867779726674,0.0008739282692107105,0.2593773834188131,0.3455640759028443,0.13460046898625305,0.00010724114426007765,0.11633273363273074,0.14953592619254033,0.007829502221945856
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,4-6,5-7;types=0,0,0,1,0,0,0,0",primary_amine,8,0.010396575610505127,0.007134703196347032,9.374687499999997,1,"1,1,1,2,2,2,2,3",,,1,2,2.7312499999999993,9.374687499999997,36.860796874999984,156.45200234374988,0.316074327378419,0.0014049086920408338,0.2615986203881623,0.3873530965406915,0.13508130692958295,0.0002643333536850752,0.12004927425369198,0.17268562111749514,-0.3765057879374496
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,5-6,5-7;types=0,0,0,1,0,0,0,0",primary_amine,8,0.009639328839163826,0.009988584474885844,9.450312500000004,1,"1,1,1,1,2,2,3,3",,,1,2,2.7312500000000006,9.450312500000004,37.93123437500001,165.87841640625007,0.31666303777445,0.0017703020046595385,0.2616008714506083,0.38735310832342085,0.1345140951367248,0.0002810069537212566,0.11916372246926879,0.17268625023729994,0.035591401082575254
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,2-6,3-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.002762094296429557,0.001997716894977169,9.601562499999996,1,"1,1,1,1,1,2,3,4",,,1,2,2.731250000000001,9.601562500000004,40.19689062500001,187.59471640625003,0.31780755626499435,0.002388492774552467,0.23082957773721907,0.38988289829575984,0.133760336960127,0.0003686688697519121,0.11038005938768827,0.1774135933737092,-0.323984080529344
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,2-6,3-7;types=0,0,0,1,0,0,0,0",secondary_amine,8,0.002858692049959526,0.003424657534246575,9.5671875,1,"1,1,1,1,1,2,3,4",,,2,1,2.7312499999999997,9.567187499999996,39.84532812499998,185.10563046874984,0.316993873801832,0.0018136748778624513,0.23084245323757113,0.34703423278002005,0.13315484409094627,0.0001833248446174226,0.1104763573389816,0.15400650372598843,0.18063722386582048
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6,3-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.008937237024061321,0.007705479452054794,9.525937500000008,1,"1,1,1,1,1,3,3,3",,,1,2,2.73125,9.525937500000001,39.001671875,175.60733046874998,0.3173523407897677,0.0021966232749441794,0.2565725442682104,0.38735563557630265,0.13412720015935903,0.00031323466890691187,0.11166624829001036,0.1727188197471983,-0.14829477288942877
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6,3-7;types=0,0,0,1,0,0,0,0",tertiary_amine,8,0.004786642868346485,0.003995433789954338,9.457187499999998,1,"1,1,1,1,1,3,3,3",,,3,0,2.73125,9.457187499999998,38.24182812499999,169.86208046874995,0.3159564584745469,0.001368199761489294,0.25764696019520716,0.34451882055561583,0.13331183457309484,0.00010644705825742885,0.1138891090087277,0.14100359927740916,-0.18067710523356845
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6,3-7;types=1,0,0,0,0,0,0,0",tertiary_amine,8,0.0023933214341732923,0.0028538812785388126,9.457187500000009,1,"1,1,1,1,1,3,3,3",,,3,0,2.731250000000002,9.457187500000012,38.24182812500006,169.72458046875033,0.31589328686586193,0.0013172063686756105,0.26156080061706316,0.34445690555928676,0.1331170402254736,6.307267054535682e-05,0.11970346624343316,0.1405530583551148,0.1759977299047764
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6,6-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.009639328839163828,0.010844748858447488,9.4503125,1,"1,1,1,1,2,2,3,3",,,1,2,2.73125,9.450312500000003,37.93123437500002,166.09841640625007,0.3167516537731378,0.0018428483755455567,0.2583935458928387,0.38991551108825434,0.13474496038520084,0.0003432113551636803,0.11412659019249954,0.17766610405007605,0.11782949141578847
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6,6-7;types=0,0,0,0,0,0,1,0",secondary_amine,8,0.009976441700450344,0.01113013698630137,9.415937500000005,1,"1,1,1,1,2,2,3,3",,,2,1,2.731250000000001,9.415937500000009,37.57967187500005,163.67808046875024,0.31597168831429734,0.0012959935444806186,0.25840857589682853,0.3470667952558241,0.13424840822937914,0.00018652630454851397,0.11425016449296088,0.15800704626755754,0.10942997895977434
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6,6-7;types=0,0,0,0,0,1,0,0",primary_amine,8,0.019278657678319183,0.018550228310502282,9.450312499999999,1,"1,1,1,1,2,2,3,3",,,1,2,2.73125,9.450312500000003,37.93123437500002,166.02966640625016,0.3167129969995679,0.0018006794902562387,0.25840863556209764,0.3873558076514646,0.13460152552918025,0.0002889070160639001,0.11425185854319199,0.17272358228000914,-0.03851656540646994
C7H17N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6,6-7;types=0,0,0,1,0,0,0,0",secondary_amine,8,0.009976441700450348,0.007990867579908675,9.415937499999998,1,"1,1,1,1,2,2,3,3",,,2,1,2.7312499999999993,9.415937499999997,37.579671874999974,163.54058046874985,0.3158998684488785,0.0012268393931407732,0.25961049582543316,0.34556407593646865,0.13400255475440842,0.00011405825870778281,0.11688349351805417,0.1495632715802318,-0.2219271216979691
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6,3-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.00828628288928559,0.005707762557077625,9.601562500000004,1,"1,1,1,1,1,2,3,4",,,1,2,2.731250000000001,9.601562500000007,40.196890625000044,187.4572164062503,0.31773522167873647,0.0023146354311385916,0.23206232919951203,0.38509091237907567,0.13350932573845667,0.00028147967930468055,0.11207770565178904,0.16874496450094134,-0.37277432870703403
