Z,symbol,role,period,chi_spec,E_port,D_index,A_index,Avg_Complexity,Max_Complexity,Avg_Size,C_total_v1_mean,C_total_v1_std,C_total_fdm_mean,C_total_fdm_std,C_norm_v1_mean,C_norm_v1_std,C_norm_fdm_mean,C_norm_fdm_std,N_min,N_max,N_best,band_width,N_best_map,F_min,Nbest_over_Z,neutron_excess,is_living_hub,is_d_block,is_donor_plateau,is_strong_acceptor_plateau
34,Se,bridge,4,1.4761061905816222,1.1932952227822329,0.0,1.237,4.42366694121221,10.143940970122356,10.0,4.42366694121221,3.0552245808891305,5.091987347832028,1.9195564464357044,0.1232002866735669,0.0082471554107203,0.2479820315539959,0.1842576681703239,34.0,61.0,54.0,5.0,56.0,-733.763357964334,1.588235294117647,20.0,False,False,False,True
35,Br,terminator,4,3.400045528995548,2.748622092963256,0.0,1.237,3.374357503122201,9.235493508962756,7.333333333333333,3.374357503122201,4.144449015186493,3.8925884833313193,2.787987211275485,0.1335947683583252,0.0090583654577977,0.4382018352310342,0.2373958027460386,35.0,63.0,54.0,5.0,58.0,-733.0486348918912,1.542857142857143,19.0,False,False,False,True
36,Kr,inert,4,0.0,0.0,-0.0,0.0,,,,,,,,,,,,36.0,64.0,54.0,4.0,58.0,-732.5142876507147,1.5,18.0,False,False,False,False
37,Rb,terminator,5,-0.1399567633863128,0.7241093659437363,0.19328125,0.0,,,,,,,,,,,,37.0,66.0,54.0,4.0,58.0,-727.0857569621074,1.4594594594594594,17.0,False,False,True,False
38,Sr,bridge,5,-0.1896487202605111,0.6067163535156372,0.3125821797312461,0.0,,,,,,,,,,,,38.0,68.0,54.0,4.0,68.0,-727.6616037627199,1.4210526315789473,16.0,False,False,True,False
49,In,hub,5,0.0743284040973175,0.6008763467851054,0.0,0.1237,,,,,,,,,,,,,,,,,,,,False,False,False,False
50,Sn,hub,5,0.8980751815232466,0.7260106560414281,0.0,1.237,,,,,,,,,,,,,,,,,,,,True,False,False,True
51,Sb,hub,5,1.0184523049977334,0.8233244179448127,0.0,1.237,,,,,,,,,,,,,,,,,,,,True,False,False,True
52,Te,bridge,5,1.2626430497848455,1.020730032162365,0.0,1.237,,,,,,,,,,,,,,,,,,,,False,False,False,True
53,I,terminator,5,2.908357056917905,2.351137475277207,0.0,1.237,,,,,,,,,,,,,,,,,,,,False,False,False,True
54,Xe,inert,5,0.0,0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False
