formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,2-6;types=0,0,0,0,0,0,1",primary_amine,7,0.02023781222714385,0.023197715917202,9.097899999999996,1,"1,1,1,1,2,3,3",,,1,2,2.664285714285714,9.0979,36.3656647142857,158.99107079571422,0.3266061351978643,0.0021351735162103733,0.2654983852227675,0.3950976858845554,0.14174325370832164,0.00033639102320983305,0.12380917901031455,0.17971205655679787,0.13650106864338213
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,2-6;types=0,0,1,0,0,0,0",tertiary_amine,7,0.010906073677729309,0.008922198429693077,9.022985714285713,1,"1,1,1,1,2,3,3",,,3,0,2.664285714285714,9.022985714285715,35.551602714285714,152.9840953442857,0.32505520716729003,0.0012174219621765333,0.26551131727076305,0.3546952725739776,0.14083017031167902,0.00010107205026315813,0.12391163268179461,0.1490571943116248,-0.20077745484566348
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,2-6;types=1,0,0,0,0,0,0",secondary_amine,7,0.005252559747700103,0.004996431120628123,9.060442857142862,1,"1,1,1,1,2,3,3",,,2,1,2.664285714285714,9.06044285714286,35.99065957142859,156.30176983857154,0.3256428459008348,0.0014429091861697294,0.26663335126997345,0.35343249506884444,0.14088267681123037,8.470093014610329e-05,0.1264279887122894,0.1491753429249763,-0.04999163730998107
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,5-6;types=0,0,0,0,0,0,1",primary_amine,7,0.02220641738410586,0.022483940042826552,9.005071428571428,1,"1,1,1,2,2,2,3",,,1,2,2.664285714285714,9.005071428571425,35.08062414285712,147.94802158142843,0.3258434215939742,0.0016916647070778044,0.26552605306499927,0.39779252607827537,0.14252100953767424,0.0003645770943540728,0.12398697458400197,0.1849230268902933,0.012419959459601015
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,5-6;types=0,0,0,0,0,1,0",secondary_amine,7,0.023053980891458884,0.02426837972876517,8.967614285714282,1,"1,1,1,2,2,2,3",,,2,1,2.6642857142857137,8.967614285714282,34.70561899999998,145.4085491957142,0.32495500121983856,0.0010626382125898468,0.26552613690841376,0.3573780898079467,0.14190765064362337,0.000172202182096977,0.12398970503421286,0.16239793698390984,0.051335793772356184
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,5-6;types=0,0,1,0,0,0,0",secondary_amine,7,0.023053980891458884,0.027123483226266953,8.967614285714282,1,"1,1,1,2,2,2,3",,,2,1,2.664285714285714,8.967614285714285,34.70561899999999,145.33363490999994,0.32491179539012066,0.0010164710347063644,0.2655401848997618,0.3559639821512705,0.14174331340563173,0.00011475281734829797,0.12410748915500054,0.15707317130239426,0.16256142454511943
C6H15N,"het:edges=0-1,0-2,1-3,2-4,2-5,2-6;types=0,0,0,0,0,0,1",primary_amine,7,0.018443724471931724,0.017844396859386154,9.19072857142856,1,"1,1,1,1,2,2,4",,,1,2,2.6642857142857133,9.190728571428563,37.8094421428571,173.14497252999968,0.32714407375979915,0.002300021564709678,0.23468834092943697,0.39269408069479284,0.14105865246884935,0.0003030755786319345,0.11782586070333925,0.17534897096820462,-0.03303461626980095
C6H15N,"het:edges=0-1,0-2,1-3,2-4,2-5,2-6;types=1,0,0,0,0,0,0",secondary_amine,7,0.006382558461795402,0.0032119914346895075,9.153271428571417,1,"1,1,1,1,2,2,4",,,2,1,2.6642857142857133,9.15327142857142,37.43443699999995,170.53058585857116,0.3262231661008891,0.0016539395478907721,0.23455583350737802,0.35596358224912206,0.14035199936581447,0.0001056711598257019,0.11735186866346596,0.15058024307447165,-0.686677745715424
C6H15N,"het:edges=0-1,0-2,1-3,2-4,2-5,5-6;types=0,0,1,0,0,0,0",tertiary_amine,7,0.04786778756344902,0.043897216274089934,8.930157142857142,1,"1,1,1,2,2,2,3",,,3,0,2.664285714285714,8.930157142857139,34.266562142857126,141.97687470142847,0.3242857280956016,0.0007488685047715014,0.2915871837978646,0.355947209319626,0.14148540543121224,6.305302890292313e-05,0.12975542243547855,0.1504303507929418,-0.08659187538832282
C6H15N,"het:edges=0-1,0-2,1-3,2-4,3-5,4-6;types=0,0,0,0,0,0,1",primary_amine,7,0.04873303176276008,0.04853675945753034,8.912242857142857,1,"1,1,2,2,2,2,2",,,1,2,2.664285714285714,8.912242857142857,33.79558357142857,136.8300580814286,0.3250387915917701,0.0012016102723237715,0.30298135941085985,0.3977925267995554,0.14314917213482928,0.00033369110978064307,0.13056488140219544,0.1849231168918547,-0.004035632545548675
C6H15N,"het:edges=0-1,0-2,1-3,2-4,3-5,4-6;types=0,0,0,0,1,0,0",secondary_amine,7,0.050593049910234014,0.05460385438972163,8.87478571428571,1,"1,1,2,2,2,2,2",,,2,1,2.664285714285714,8.874785714285713,33.420578428571424,134.29058569571424,0.3241503743324218,0.0005711770486665856,0.3029965916535606,0.35737809052881225,0.14253599170670112,0.00014243406074352307,0.1306993908490121,0.16240362464328514,0.07629025871891576
C6H15N,"het:edges=0-1,0-2,1-3,2-4,3-5,4-6;types=0,0,1,0,0,0,0",secondary_amine,7,0.050593049910234014,0.04532476802284083,8.874785714285713,1,"1,1,2,2,2,2,2",,,2,1,2.6642857142857137,8.874785714285709,33.42057842857139,134.21567140999977,0.32410767089694253,0.0005261501713791606,0.3030294267278594,0.35596398287213593,0.14237858658022498,8.964155754400091e-05,0.13094028101612834,0.1572987711388214,-0.1099605724656619
C6H15N,"het:edges=0-1,0-2,1-3,2-4,3-5,4-6;types=1,0,0,0,0,0,0",secondary_amine,7,0.025296524955118502,0.023197715917202,8.87478571428571,1,"1,1,2,2,2,2,2",,,2,1,2.664285714285714,8.874785714285713,33.420578428571424,134.21567140999994,0.324107120657311,0.0005247069437886068,0.3042853577239176,0.3559474161912423,0.14237033010752798,8.353258316969191e-05,0.13390888114771757,0.157037114897853,-0.08661320718959055
C6H15N,"het:edges=0-1,0-2,1-3,2-4,4-5,4-6;types=0,0,0,0,0,0,1",primary_amine,7,0.044412834768211916,0.046038543897216275,9.005071428571428,1,"1,1,1,2,2,2,3",,,1,2,2.6642857142857146,9.00507142857143,35.080624142857154,147.87310729571433,0.3258005213073761,0.001644450216079245,0.26680773735843705,0.3950978795462509,0.14236136125162013,0.0003030961264344415,0.12717424784115156,0.17971779901255192,0.03595045663054434
C6H15N,"het:edges=0-1,0-2,1-3,2-4,4-5,4-6;types=0,0,0,0,1,0,0",tertiary_amine,7,0.023933893781723423,0.023197715917202,8.930157142857135,1,"1,1,1,2,2,2,3",,,3,0,2.6642857142857133,8.930157142857135,34.26656214285709,141.86613184428538,0.3242500549873986,0.0007252284802839595,0.29396207723531825,0.35594732017532227,0.14145426657326662,7.235138757987702e-05,0.12974045681604335,0.15043332329580664,-0.031241780868783698
C6H15N,"het:edges=0-1,0-2,1-3,2-4,4-5,4-6;types=0,0,1,0,0,0,0",secondary_amine,7,0.023053980891458884,0.02569593147751606,8.967614285714282,1,"1,1,1,2,2,2,3",,,2,1,2.6642857142857137,8.967614285714282,34.70561899999998,145.2587206242856,0.3248744690551639,0.000983320929461942,0.2666622393855211,0.35594741547037695,0.14162089953172413,8.209326043326739e-05,0.1266243222931502,0.15309059022821783,0.1084942053230892
