seed,n,cyclomatic,cycle_load,C_norm_fdm,C_norm_fdm_loopy,penalty_factor,mode
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,8,3,0.375,0.219435473958481,0.4992157032555443,2.275,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,7,3,0.42857142857142855,0.1969213468668759,0.45854542199001097,2.3285714285714283,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,16,2,0.125,0.11224232783221147,0.1936180155105648,1.725,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,4,1,0.25,0.33303300858899104,0.5162011633129361,1.5499999999999998,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,3,1,0.3333333333333333,0.41031336922528344,0.6701785030679629,1.633333333333333,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,12,2,0.16666666666666666,0.14454615343101898,0.2553648710614669,1.7666666666666668,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,16,3,0.1875,0.11202558044355683,0.23385339917592488,2.0875,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,8,3,0.375,0.21879196035380874,0.4977517098049149,2.275,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,9,3,0.3333333333333333,0.1898154836754434,0.423921246875157,2.2333333333333334,CY1B
Na,13,3,0.23076923076923078,0.13855059903962208,0.29521935333827165,2.1307692307692307,CY1B
Na,4,1,0.25,0.33303300858899104,0.5162011633129361,1.5499999999999998,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,10,3,0.3,0.1620034871371526,0.35640767170173565,2.1999999999999997,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
