idx,n,cyclomatic,total_off,total_on,t_off_sec,t_on_sec,speedup
104,20,0,7.017965647115495,7.012148822770492,0.38967840000987053,0.000451600004453212,862.8839596263625
105,20,0,6.811851317578294,6.810937806978606,0.38970629998948425,0.0004382000188343227,889.3342839787206
106,20,0,6.296842035384206,6.2948696093107,0.4008958999766037,0.0004165000282227993,962.5351087903205
107,20,0,5.843738453721606,5.835600881304186,0.3993080999935046,0.0004954999894835055,805.8690382813762
108,20,0,6.255171254258582,6.245220142849315,0.3966919999802485,0.00047719996655359864,831.2909215924943
109,20,0,7.103058067112919,7.08563169455564,0.39888799999607727,0.0005203000036999583,766.6500041504981
110,20,0,7.3161598928205,7.306073501525825,0.39984779997030273,0.0005370000144466758,744.595510639428
111,20,0,6.203058099063084,6.189284811699771,0.39398529997561127,0.0005729999975301325,687.5834235145745
112,20,0,7.1410325916871225,7.1360871056217325,0.3987497000489384,0.0004914000164717436,811.4564238559956
113,20,0,7.803059436271717,7.795570766989189,0.3951753999572247,0.0005386999691836536,733.5723455786973
114,20,0,7.1483614781665565,7.11752884540757,0.3922049000393599,0.0005187999922782183,755.9847838799334
115,20,0,6.906667568261885,6.898330272067341,0.40367690002312884,0.0004537000204436481,889.744063992758
116,20,0,6.900157986579777,6.8687095061684875,0.46428469999227673,0.0004631999763660133,1002.3418041485527
117,20,0,7.962850546604697,7.930813498025952,0.3902014000341296,0.00047419994371011853,822.8626030218642
118,20,0,6.783714592417619,6.753867221173443,0.39766130002681166,0.0005080999690108001,782.6438186977315
119,20,0,8.033244520522333,8.02891036685317,0.39727449999190867,0.0004364000051282346,910.3448563782003
120,20,0,7.7455877686126735,7.6815126901452,0.3908752999850549,0.0005878999945707619,664.8669902955878
121,20,0,7.933590313777261,7.923810719843222,0.40295550000155345,0.0004563999827951193,882.8999018223947
122,20,0,6.473160007444557,6.467603418012999,0.38750219997018576,0.0004783999756909907,809.9962785543329
123,20,0,7.334223692441767,7.325311232274743,0.4004372999770567,0.0004634000360965729,864.1287630232408
124,20,0,6.977320998941815,6.946809688054779,0.4102564999484457,0.00046990002738311887,873.0718792105015
125,20,0,6.094465250977102,6.0879343621709,0.4010023000300862,0.00046089995885267854,870.0419523323543
126,20,0,6.731198007173944,6.71586293787204,0.39550270000472665,0.0005745000089518726,688.4294061653513
127,20,0,8.436592458092248,8.417513738232747,0.39704479998908937,0.0011882000253535807,334.156532163798
128,20,0,5.893832901125426,5.89347064055168,0.39012340002227575,0.0004589000018313527,850.1272574970427
129,20,0,6.103864081389404,6.098035476930009,0.402281699993182,0.00046490004751831293,865.3079347713675
130,20,0,7.145704645329484,7.125301436421134,0.38344509998569265,0.000493900035507977,776.3617582884333
131,20,0,6.29052052844262,6.284869741090192,0.38515210000332445,0.00043809995986521244,879.1420572643327
132,20,0,7.171819967924276,7.166862325144559,0.38644670002395287,0.0007334999972954392,526.8530353767675
133,20,0,7.110934775989891,7.10071332813177,0.3895056000328623,0.00043189997086301446,901.8421539935728
134,20,0,7.8749546889266915,7.867722492458569,0.38831170002231374,0.0004408999811857939,880.7251453673354
135,20,0,6.13048885540668,6.1132580748890515,0.39902269997401163,0.000499500019941479,798.8442123000532
